City_Name,PM2_5_Mean,PM10_Mean,NO2_Mean,Population,Air_Quality_Year,Country_Name,Greenness_Public_Share,GDP_Capita
indore,33.333,75.0,19.667,3016713.0,2020.0,india,16.1,9160.063
irbid,21.7,,17.2,556899.0,2021.0,jordan,19.6,9362.588
islamabad,32.294,,21.062,1129198.0,2020.0,pakistan,20.3,5439.1875
istanbul,21.392,40.628,86.77,15190336.0,2020.0,turkey,20.6,34609.914
jabalpur,31.0,76.5,15.5,1449787.0,2020.0,india,17.3,9160.063
jaen,9.869,21.704,11.763,112757.0,2021.0,peru,12.5,15294.257
jeju,19.114,33.412,0.01,343168.0,2019.0,south korea,12.6,50572.25
johannesburg,35.466,54.225,38.83,5782747.0,2021.0,south africa,14.8,13690.39
jyvaskyla,4.759,9.75,8.985,142400.0,2021.0,finland,17.3,57063.523
kanpur,40.0,191.625,43.875,3123990.0,2020.0,india,16.0,9160.063
karlsruhe,8.91,13.892,22.575,318064.0,2021.0,germany,15.9,63578.14
katowice,21.745,31.488,35.082,294510.0,2020.0,poland,53.1,44384.168
kaunas,13.36,24.604,20.588,289364.0,2021.0,lithuania,17.8,46740.41
kayseri,25.558,52.585,63.458,973506.0,2020.0,turkey,13.0,34609.914
kefar sava,18.1,,19.74,101431.0,2021.0,israel,16.7,48432.11
khulna,61.236,77.613,37.568,953745.0,2018.0,bangladesh,23.8,8242.398
kielce,16.666,25.728,24.471,195774.0,2020.0,poland,34.2,44384.168
kingston,8.0,,20.0,590940.0,2021.0,jamaica,17.1,10291.3125
kolkata,52.2,100.056,50.222,14850066.0,2020.0,india,13.9,9160.063
kuala lumpur,28.271,36.042,0.017,7996830.0,2019.0,malaysia,19.8,32812.3
kurnool,24.5,52.5,13.75,665186.0,2020.0,india,21.7,9160.063
lausanne,8.65,12.9,20.35,441885.0,2021.0,switzerland,19.9,82557.55
le mans,9.698,14.333,10.286,150369.0,2021.0,france,19.1,55441.188
leicester,7.484,15.054,23.279,552178.0,2020.0,united kingdom,17.4,54542.016
leon,8.772,14.379,15.888,124028.0,2021.0,nicaragua,15.8,7486.943
liege,6.931,15.007,17.346,677589.0,2020.0,belgium,13.6,64185.848
lille,12.685,19.925,21.796,1063085.0,2021.0,france,17.7,55441.188
linz,12.261,17.915,23.903,193814.0,2021.0,austria,14.4,65015.133
ljubljana,15.718,28.736,22.142,289518.0,2020.0,slovenia,20.7,48243.94
omza,22.412,29.283,12.843,63000.0,2020.0,poland,8.4,44384.168
